stage,method,metric,value
jidd_scma,__stage__,stage_dir,results/20260319_193423_jidd_scma/jidd_scma
jidd_scma,__stage__,stage_json,results/20260319_193423_jidd_scma/jidd_scma/stage_results_v2.json
jidd_scma,__stage__,stage_csv,results/20260319_193423_jidd_scma/jidd_scma/stage_results_v2.csv
jidd_scma,jidd_scma,mean_ber,0.11299106611104798
jidd_scma,jidd_scma,mean_ber_upper_confidence,0.11299106611104798
jidd_scma,jidd_scma,mean_bit_errors,5730.909090909091
jidd_scma,jidd_scma,mean_total_bits,5477655.2727272725
jidd_scma,jidd_scma,mean_runtime_sec,2662.476578474045
jidd_scma,jidd_scma,runtime_total_sec,13400.956715606
