stage,method,metric,value
estimators,__stage__,stage_dir,results/20260412_162534_neural_ls_rayleigh_64qam_s/estimators
estimators,__stage__,stage_json,results/20260412_162534_neural_ls_rayleigh_64qam_s/estimators/stage_results_v2.json
estimators,__stage__,stage_csv,results/20260412_162534_neural_ls_rayleigh_64qam_s/estimators/stage_results_v2.csv
estimators,neural,mean_ber,0.009410905623488923
estimators,neural,mean_ber_upper_confidence,0.009437916968048132
estimators,neural,mean_latency_ms,778.3655357443007
estimators,neural,mean_throughput_bits_per_batch,584273.2220015313
estimators,neural,mean_energy_joules_per_batch,0.00023560299999999463
estimators,neural,mean_avg_power_w,0.0003026966478550575
estimators,neural,mean_runtime_sec,1434.2719332562783
estimators,neural,mean_bit_errors,63293.36363636364
estimators,neural,mean_total_bits,615508154.1818181
estimators,neural,mean_block_errors,137.72727272727272
estimators,neural,mean_total_blocks,133573.81818181818
estimators,neural,mean_num_batches,1043.5454545454545
estimators,ls,mean_ber,0.032000638630018306
estimators,ls,mean_ber_upper_confidence,0.032058206547509176
estimators,ls,mean_latency_ms,794.0425307931197
estimators,ls,mean_throughput_bits_per_batch,570949.255320688
estimators,ls,mean_energy_joules_per_batch,0.00023560299999999602
estimators,ls,mean_avg_power_w,0.00029672662805483744
estimators,ls,mean_runtime_sec,689.7979226634486
estimators,ls,mean_bit_errors,198063.0
estimators,ls,mean_total_bits,501618501.8181818
estimators,ls,mean_block_errors,275.6363636363636
estimators,ls,mean_total_blocks,108858.18181818182
estimators,ls,mean_num_batches,850.4545454545455
estimators,neural,runtime_total_sec,15776.99126581906
estimators,ls,runtime_total_sec,7587.777149297935
