stage,method,metric,value
jidd_scma,__stage__,stage_dir,results/20260320_171006_jidd_scma/jidd_scma
jidd_scma,__stage__,stage_json,results/20260320_171006_jidd_scma/jidd_scma/stage_results_v2.json
jidd_scma,__stage__,stage_csv,results/20260320_171006_jidd_scma/jidd_scma/stage_results_v2.csv
jidd_scma,jidd_scma,mean_ber,0.09076751581768101
jidd_scma,jidd_scma,mean_ber_upper_confidence,0.09076751581768101
jidd_scma,jidd_scma,mean_bit_errors,4613.65
jidd_scma,jidd_scma,mean_total_bits,31060339.2
jidd_scma,jidd_scma,mean_runtime_sec,6623.005339062214
jidd_scma,jidd_scma,runtime_total_sec,132459.629715493
