sample_id,pos_x,pos_y,pos_z,path_0_mag,path_0_delay,path_1_mag,path_1_delay,path_2_mag,path_2_delay,path_3_mag,path_3_delay,path_4_mag,path_4_delay,path_5_mag,path_5_delay,path_6_mag,path_6_delay,path_7_mag,path_7_delay,path_8_mag,path_8_delay,path_9_mag,path_9_delay
552,-11.032551964575626,-10.065550719021823,1.0,8.8447276e-05,7.393308e-08,5.5404154e-05,7.921743e-08,3.5456404e-05,8.3337866e-08,3.522692e-05,7.481651e-08,2.2266837e-05,8.006542e-08,1.7509916e-05,0.0,7.132105e-06,7.3861166e-09,6.6499842e-06,1.1784394e-08,4.1533826e-06,8.1243485e-08,3.2117366e-06,8.905606e-08
553,10.75830873037139,3.8808091804556604,1.0,0.0005501731,0.0,0.00020166085,1.0597873e-08,5.5826273e-05,2.6651676e-09,5.5821667e-05,2.6651676e-09,4.100296e-05,3.9762458e-08,2.8875882e-05,4.559295e-08,2.3764327e-05,6.3249814e-08,1.9346873e-05,6.782243e-08,1.5816211e-05,1.2734244e-08,1.4198114e-05,6.140784e-09
554,-2.272973517770991,0.23548780711607087,1.0,0.00012680293,7.658307e-08,5.8765294e-05,0.0,3.1776995e-05,1.443939e-07,2.9490326e-05,7.778527e-08,2.9380877e-05,7.778528e-08,1.579954e-05,6.0498717e-09,1.579941e-05,6.0498717e-09,7.151474e-06,6.8652554e-08,7.075483e-06,7.0197615e-08,5.0806552e-06,1.238606e-08
555,-5.236280346254614,-10.257225062099296,1.0,5.651195e-05,7.233209e-08,3.1617295e-05,1.1309948e-07,2.2205515e-05,0.0,2.2169319e-05,1.171045e-07,1.9189794e-05,1.14837285e-07,1.8848968e-05,7.3312506e-08,9.312217e-06,1.1555115e-07,9.147623e-06,1.1555115e-07,7.1356812e-06,1.3198967e-08,5.214438e-06,3.479731e-08
556,11.0254338932425,4.577297390610191,1.0,0.0005147084,0.0,0.00019776548,8.837041e-09,4.6987978e-05,2.5707223e-09,4.6983198e-05,2.5707223e-09,4.4434164e-05,3.6561268e-08,2.993316e-05,4.1619664e-08,2.3240013e-05,6.413676e-08,1.7418828e-05,1.098066e-08,1.2536547e-05,2.4592389e-08,1.2378262e-05,5.9386736e-09
557,-0.6057855032102566,1.7896000295504173,1.0,0.0001340422,7.189737e-08,6.1195766e-05,0.0,3.1582083e-05,1.01292535e-07,3.0800496e-05,1.5065238e-07,2.8397506e-05,7.3172e-08,2.7378903e-05,7.3172004e-08,2.6126476e-05,1.0957605e-07,1.6749527e-05,6.226581e-09,1.674942e-05,6.2265793e-09,1.1511768e-05,1.0224739e-07
558,10.22379779054064,11.482489179897858,1.0,0.00023427904,0.0,0.00012641943,1.0839688e-08,8.787354e-05,5.096112e-09,2.4193074e-05,1.519476e-07,1.9459972e-05,1.2559635e-08,1.945463e-05,1.2559635e-08,1.5525313e-05,7.4092114e-08,1.4446503e-05,7.898031e-08,1.0826799e-05,6.1377996e-09,1.0754709e-05,6.981029e-09
559,-0.7879723660661888,-8.650229956215718,1.0,4.5136254e-05,5.9807505e-08,1.8700839e-05,7.082307e-08,1.586293e-05,0.0,6.2487597e-06,8.887628e-09,5.4252428e-06,7.1900594e-08,4.6753257e-06,2.4308758e-08,2.4837984e-06,3.3157939e-09,2.4837304e-06,3.3157939e-09,2.3619461e-06,1.2646982e-08,1.8327773e-06,2.816526e-08
560,2.0052770909271285,3.802237163615377,1.0,0.00022521889,0.0,0.00014384028,5.9294017e-08,3.7455855e-05,5.0338897e-09,3.745479e-05,5.0338897e-09,2.6031203e-05,6.069219e-08,2.3146238e-05,6.069219e-08,1.5304478e-05,5.2679944e-08,1.0782243e-05,7.7640095e-08,8.74991e-06,1.0707204e-08,6.2714703e-06,6.130257e-09
561,-8.935038770105102,-7.990877614871645,1.0,2.1422748e-05,0.0,1.9097575e-05,8.60382e-08,6.422839e-06,1.9167427e-08,6.0400057e-06,2.331046e-08,3.852637e-06,1.3909204e-07,3.3130452e-06,8.724764e-08,3.2273056e-06,8.72179e-08,2.9163075e-06,9.525455e-08,2.6684327e-06,3.7022584e-08,2.3969753e-06,1.0012005e-07
562,-5.429724320197237,-5.449734126832265,1.0,1.7839355e-05,1.3396897e-07,8.729964e-06,1.346506e-07,6.081799e-06,3.620416e-09,6.079385e-06,1.5153218e-07,5.554416e-06,4.006123e-08,5.120441e-06,7.611942e-08,3.7988102e-06,0.0,2.7721694e-06,1.3518766e-07,2.122193e-06,1.3683531e-08,2.110603e-06,4.8018663e-08
563,4.006271347175142,3.7641293301237546,1.0,0.00044711446,0.0,0.00015479856,4.9707396e-08,7.3351934e-05,4.4665978e-09,7.335069e-05,4.4665978e-09,3.317264e-05,7.781913e-08,2.2500393e-05,5.1228547e-08,2.2194612e-05,9.685386e-08,2.02534e-05,5.0632003e-08,1.8732457e-05,5.1228547e-08,1.6418173e-05,9.700694e-09
564,3.9529616831049363,1.5493806563123087,1.0,0.0006845143,0.0,0.00015875156,5.2191098e-08,0.00011395893,5.060329e-09,0.00011395662,5.060329e-09,2.903896e-05,8.649352e-08,2.6677388e-05,1.0752855e-08,1.9950636e-05,5.372754e-08,1.9033161e-05,6.1610717e-09,1.8290864e-05,5.372754e-08,1.7541624e-05,6.098311e-08
565,4.437033355369323,-9.546893159415262,1.0,0.00012698921,3.922501e-08,4.953404e-05,4.926576e-08,3.4144876e-05,1.7697932e-08,2.575618e-05,4.0660534e-08,1.9828196e-05,1.5166219e-07,1.9603514e-05,2.853504e-09,1.9336698e-05,4.0660534e-08,1.740921e-05,9.720097e-08,1.112261e-05,5.053783e-08,1.0926761e-05,7.9380555e-08
566,-4.782253307079769,9.123009658433709,1.0,0.00010391385,6.789416e-08,5.232307e-05,7.650739e-08,3.3447614e-05,6.8950996e-08,3.185877e-05,1.1758844e-07,3.103523e-05,6.8950996e-08,2.4499455e-05,0.0,1.7400585e-05,7.748464e-08,7.3719716e-06,9.003347e-08,6.7140863e-06,2.0038414e-08,4.8364805e-06,7.0204706e-08
567,-1.3056201069584858,-2.476341995023354,1.0,5.5448207e-05,0.0,2.9707078e-05,7.4092256e-08,2.550221e-05,1.11297076e-07,1.4503779e-05,5.7994747e-09,1.4503604e-05,5.7994747e-09,1.0387681e-05,1.1216623e-07,7.5988637e-06,7.6434034e-08,5.8456785e-06,2.494346e-07,4.704515e-06,6.429312e-08,4.652373e-06,1.1986158e-08
568,-7.194110081303993,6.298705674972393,1.0,4.4269505e-05,9.0333e-08,3.4908517e-05,7.6666e-08,3.452915e-05,1.10364795e-07,2.6118729e-05,0.0,1.6837965e-05,9.1220656e-08,1.6722945e-05,9.122064e-08,5.987987e-06,2.98248e-08,5.6794966e-06,3.3582797e-08,4.4811336e-06,1.8216656e-07,4.1573976e-06,3.0809666e-09
569,-2.2308261755018357,6.426788348964887,1.0,0.00011898612,6.79525e-08,3.430343e-05,0.0,2.940767e-05,6.9125406e-08,8.257243e-06,3.7485258e-08,7.1383474e-06,3.9329304e-09,6.1970873e-06,7.961171e-08,4.8012307e-06,5.371308e-08,3.964681e-06,8.518311e-08,2.1622154e-06,7.259319e-08,2.0681166e-06,3.1670005e-08
570,-2.0163064146633367,7.106136216667252,1.0,3.2227385e-05,0.0,1.44733785e-05,8.19081e-08,6.433758e-06,3.7235157e-09,4.614742e-06,6.854969e-08,4.024765e-06,8.162815e-08,2.4285873e-06,9.2528836e-08,2.2026231e-06,7.0052494e-08,2.187774e-06,7.9363794e-08,2.1271064e-06,1.1583667e-07,1.6270154e-06,8.331611e-08
571,-3.866100878607451,6.873124517419054,1.0,3.209524e-05,1.266608e-07,3.0615854e-05,0.0,1.5417947e-05,8.5950916e-08,5.865857e-06,3.5577834e-09,5.1141274e-06,4.5825832e-08,4.896806e-06,7.2760116e-08,3.8145554e-06,8.569337e-08,2.845399e-06,7.301806e-08,2.5085217e-06,9.6105936e-08,2.2620723e-06,6.4332525e-08
572,-0.5417687770538269,9.938981266859773,1.0,5.4130815e-05,6.402021e-08,4.004206e-05,0.0,2.9196966e-05,1.3301847e-07,1.839084e-05,1.0919739e-07,1.654357e-05,5.783885e-08,1.4710195e-05,6.51289e-08,9.894948e-06,1.6664556e-07,8.479542e-06,2.1871905e-07,6.98163e-06,2.2150296e-07,6.5399504e-06,1.2325661e-07
573,5.3079364761292105,-8.398374949811945,1.0,0.00022988861,0.0,0.00013704224,3.692065e-08,3.4891094e-05,2.3924851e-08,2.9585326e-05,2.9894025e-09,2.9584073e-05,2.989399e-09,2.6854796e-05,1.5135348e-07,2.4223937e-05,3.843643e-08,1.7926513e-05,9.428905e-08,1.7214681e-05,3.843643e-08,1.2330361e-05,7.786434e-08
574,2.5654940147172365,-8.001552522038711,1.0,0.00012973233,4.952091e-08,4.5201275e-05,6.378927e-08,2.7542741e-05,5.089036e-08,2.6275551e-05,0.0,2.2519926e-05,5.089036e-08,1.1999165e-05,6.49554e-08,8.909965e-06,2.1240871e-07,5.8061264e-06,1.283432e-07,4.3775553e-06,3.3982843e-09,3.7510736e-06,5.1226454e-08
