stage,method,metric,value
rayleigh/resource_managers,ber_drl,mean_latency_ms,277.56271455606407
rayleigh/resource_managers,ber_drl,mean_throughput_bits_per_batch,61440.0
rayleigh/resource_managers,ber_drl,mean_energy_joules_per_batch,0.00018645100000000005
rayleigh/resource_managers,ber_drl,mean_avg_power_w,0.0006717583714671446
rayleigh/resource_managers,ber_drl,mean_runtime_sec,6.086064340001196
rayleigh/resource_managers,ber_drl,mean_bit_errors,0.0
rayleigh/resource_managers,ber_drl,mean_total_bits,1228800.0
rayleigh/resource_managers,ber_drl,mean_block_errors,0.0
rayleigh/resource_managers,ber_drl,mean_total_blocks,800.0
rayleigh/resource_managers,ber_drl,mean_num_batches,20.0
rayleigh/resource_managers,static,runtime_total_sec,66.05633800400028
rayleigh/resource_managers,round_robin,runtime_total_sec,65.79091244399933
rayleigh/resource_managers,max_throughput,runtime_total_sec,66.1102174900152
rayleigh/resource_managers,pf,runtime_total_sec,65.88094070801708
rayleigh/resource_managers,wmmse,runtime_total_sec,66.80280137300178
rayleigh/resource_managers,queue_aware,runtime_total_sec,65.88685115699445
rayleigh/resource_managers,drl,runtime_total_sec,66.87411207500008
rayleigh/resource_managers,ber_drl,runtime_total_sec,66.94670774001315
rician/resource_managers,__stage__,stage_dir,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rician/resource_managers
rician/resource_managers,__stage__,stage_json,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rician/resource_managers/stage_results_v2.json
rician/resource_managers,__stage__,stage_csv,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rician/resource_managers/stage_results_v2.csv
rician/resource_managers,static,mean_ber,0.0005890077533143939
rician/resource_managers,static,mean_ber_upper_confidence,0.0006013692820269656
rician/resource_managers,static,mean_latency_ms,277.4926906925013
rician/resource_managers,static,mean_throughput_bits_per_batch,122807.62272727274
rician/resource_managers,static,mean_energy_joules_per_batch,0.00018645100000000008
rician/resource_managers,static,mean_avg_power_w,0.0006720285907937019
rician/resource_managers,static,mean_runtime_sec,5.959465442636925
rician/resource_managers,static,mean_bit_errors,1447.5454545454545
rician/resource_managers,static,mean_total_bits,2457600.0
rician/resource_managers,static,mean_block_errors,7.818181818181818
rician/resource_managers,static,mean_total_blocks,1600.0
rician/resource_managers,static,mean_num_batches,20.0
rician/resource_managers,round_robin,mean_ber,4.727450284090909e-05
rician/resource_managers,round_robin,mean_ber_upper_confidence,5.266772723534858e-05
rician/resource_managers,round_robin,mean_latency_ms,275.99410693793175
rician/resource_managers,round_robin,mean_throughput_bits_per_batch,61437.09545454546
rician/resource_managers,round_robin,mean_energy_joules_per_batch,0.00018645100000000008
rician/resource_managers,round_robin,mean_avg_power_w,0.0006755845383415951
rician/resource_managers,round_robin,mean_runtime_sec,5.934781814090622
rician/resource_managers,round_robin,mean_bit_errors,58.09090909090909
rician/resource_managers,round_robin,mean_total_bits,1228800.0
rician/resource_managers,round_robin,mean_block_errors,0.18181818181818182
rician/resource_managers,round_robin,mean_total_blocks,800.0
rician/resource_managers,round_robin,mean_num_batches,20.0
rician/resource_managers,max_throughput,mean_ber,0.0
